,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
105,2019-02-14,sh.600000,8.3070638000,8.3530014800,8.2687824000,8.2840949600,8.3147200800,19815286,215023175.0000,2,0.070508,1,-0.368324,0
106,2019-02-15,sh.600000,8.2534698400,8.3070638000,8.1615944800,8.1615944800,8.2840949600,17758789,190960435.0000,2,0.063190,1,-1.478742,0
107,2019-02-18,sh.600000,8.2305010000,8.3223763600,8.1922196000,8.2994075200,8.1615944800,20102219,217621153.0000,2,0.071529,1,1.688558,0
108,2019-02-19,sh.600000,8.3070638000,8.3912828800,8.2534698400,8.2687824000,8.2994075200,25952745,281465131.0000,2,0.092346,1,-0.369003,0
109,2019-02-20,sh.600000,8.3606577600,8.3606577600,8.2764386800,8.2917512400,8.2687824000,22286311,242111573.0000,2,0.079300,1,0.277775,0
110,2019-02-21,sh.600000,8.2917512400,8.3683140400,8.2305010000,8.2611261200,8.2917512400,25402390,275374197.0000,2,0.090388,1,-0.369344,0
111,2019-02-22,sh.600000,8.2381572800,8.4295642800,8.2381572800,8.4295642800,8.2611261200,25907438,281913760.0000,2,0.092185,1,2.038927,0
112,2019-02-25,sh.600000,8.4448768400,9.1492546000,8.4448768400,9.1262857600,8.4295642800,93712264,1075040678.0000,2,0.333451,1,8.265212,0
113,2019-02-26,sh.600000,9.1186294800,9.3023802000,8.8812848000,8.9195662000,9.1262857600,83643265,990289721.0000,2,0.297623,1,-2.265105,0
114,2019-02-27,sh.600000,8.9655038800,9.2411299600,8.9348787600,9.0573792400,8.9195662000,71201603,843023417.0000,2,0.253353,1,1.545067,0
115,2019-02-28,sh.600000,9.0573792400,9.1262857600,8.9425350400,8.9884727200,9.0573792400,39393414,464139463.0000,2,0.140171,1,-0.760779,0
116,2019-03-01,sh.600000,9.0420666800,9.2334736800,8.8812848000,9.2028485600,8.9884727200,63254621,747753342.0000,2,0.225075,1,2.385015,0
117,2019-03-04,sh.600000,9.2794113600,9.4784746400,9.1492546000,9.2028485600,9.2028485600,85024777,1030561509.0000,2,0.302539,1,0.000000,0
118,2019-03-05,sh.600000,9.1951922800,9.2181611200,9.0880043600,9.1722234400,9.2028485600,54564202,652552200.0000,2,0.194153,1,-0.332786,0
119,2019-03-06,sh.600000,9.1798797200,9.3023802000,9.0803480800,9.2028485600,9.1722234400,53693164,644243050.0000,2,0.191053,1,0.333898,0
120,2019-03-07,sh.600000,9.2105048400,9.2181611200,9.0880043600,9.0956606400,9.2028485600,52618824,628390863.0000,2,0.187231,1,-1.164728,0
121,2019-03-08,sh.600000,8.9731601600,8.9731601600,8.6975340800,8.8047220000,9.0956606400,52670531,609490591.0000,2,0.187415,1,-3.198654,0
122,2019-03-11,sh.600000,8.7587843200,8.8736285200,8.6975340800,8.7817531600,8.8047220000,39922020,457056506.0000,2,0.142052,1,-0.260867,0
123,2019-03-12,sh.600000,8.8736285200,8.9501913200,8.7281592000,8.7587843200,8.7817531600,52211807,602940683.0000,2,0.185782,1,-0.261558,0
124,2019-03-13,sh.600000,8.7358154800,8.8506596800,8.6515964000,8.7587843200,8.7587843200,41373014,472974759.0000,2,0.147215,1,0.000000,0
125,2019-03-14,sh.600000,8.7740968800,8.8659722400,8.7511280400,8.7740968800,8.7587843200,34337899,395468492.0000,2,0.122183,1,0.174829,0
126,2019-03-15,sh.600000,8.7817531600,8.8812848000,8.7511280400,8.7511280400,8.7740968800,33769320,388244487.0000,2,0.120159,1,-0.261778,0
127,2019-03-18,sh.600000,8.7664406000,8.8812848000,8.7051903600,8.8736285200,8.7511280400,43879562,503915219.0000,2,0.156134,1,1.399824,0
128,2019-03-19,sh.600000,8.9042536400,8.9348787600,8.8123782800,8.8430034000,8.8736285200,27500231,318521475.0000,2,0.097852,1,-0.345125,0
129,2019-03-20,sh.600000,8.8200345600,8.9119099200,8.7970657200,8.8430034000,8.8430034000,27325424,315587208.0000,2,0.097230,1,0.000000,0
130,2019-03-21,sh.600000,8.8506596800,8.8736285200,8.7587843200,8.7740968800,8.8430034000,35037035,403573243.0000,2,0.124670,1,-0.779222,0
131,2019-03-22,sh.600000,8.7970657200,8.8123782800,8.6592526800,8.7205029200,8.7740968800,35436446,403972783.0000,2,0.126091,1,-0.610818,0
132,2019-03-25,sh.600000,8.6362838400,8.6439401200,8.4295642800,8.4448768400,8.7205029200,57716577,642860108.0000,2,0.205370,1,-3.160673,0
133,2019-03-26,sh.600000,8.5061270800,8.5290959200,8.4448768400,8.4908145200,8.4448768400,30795722,341425280.0000,2,0.109579,1,0.543975,0
134,2019-03-27,sh.600000,8.5061270800,8.6056587200,8.4525331200,8.4831582400,8.4908145200,42124489,469246326.0000,2,0.149889,1,-0.090173,0
135,2019-03-28,sh.600000,8.4448768400,8.4601894000,8.3453452000,8.4448768400,8.4831582400,29296120,321585861.0000,2,0.104243,1,-0.451265,0
136,2019-03-29,sh.600000,8.4065954400,8.6515964000,8.4065954400,8.6362838400,8.4448768400,60526266,678436536.0000,2,0.215367,1,2.266546,0
137,2019-04-01,sh.600000,8.6975340800,8.8200345600,8.6439401200,8.7587843200,8.6362838400,70637405,808657530.0000,2,0.251345,1,1.418438,0
138,2019-04-02,sh.600000,8.8047220000,8.8200345600,8.7358154800,8.7587843200,8.7587843200,46714710,534896816.0000,2,0.166222,1,0.000000,0
139,2019-04-03,sh.600000,8.7051903600,8.8353471200,8.6822215200,8.8047220000,8.7587843200,50271029,575799446.0000,2,0.178876,1,0.524479,0
140,2019-04-04,sh.600000,8.8430034000,8.9655038800,8.8353471200,8.9655038800,8.8047220000,75232527,876099547.0000,2,0.267696,1,1.826087,0
141,2019-04-08,sh.600000,9.0267541200,9.1569108800,8.9195662000,8.9731601600,8.9655038800,77870373,920513531.0000,2,0.277082,1,0.085399,0
142,2019-04-09,sh.600000,8.9731601600,8.9961290000,8.7970657200,8.8353471200,8.9731601600,56895992,660406225.0000,2,0.202450,1,-1.535839,0
143,2019-04-10,sh.600000,8.8047220000,8.8506596800,8.7434717600,8.7894094400,8.8353471200,41027539,470666649.0000,2,0.145986,1,-0.519934,0
144,2019-04-11,sh.600000,8.7817531600,8.8736285200,8.6898778000,8.7817531600,8.7894094400,50172794,575765348.0000,2,0.178527,1,-0.087102,0
145,2019-04-12,sh.600000,8.7817531600,8.8506596800,8.7511280400,8.7970657200,8.7817531600,26273690,301752036.0000,2,0.093488,1,0.174364,0
146,2019-04-15,sh.600000,8.9348787600,9.0114415600,8.7740968800,8.7817531600,8.7970657200,70509167,823853432.0000,2,0.250889,1,-0.174060,0
147,2019-04-16,sh.600000,8.7740968800,9.1798797200,8.7511280400,9.1492546000,8.7817531600,100665400,1188260123.0000,2,0.358192,1,4.184826,0
148,2019-04-17,sh.600000,9.1569108800,9.2564425200,9.0956606400,9.1186294800,9.1492546000,68157211,816127043.0000,2,0.242520,1,-0.334728,0
149,2019-04-18,sh.600000,9.1186294800,9.2258174000,9.0650355200,9.1186294800,9.1186294800,43048980,513835270.0000,2,0.153179,1,0.000000,0
150,2019-04-19,sh.600000,9.1951922800,9.3406616000,9.0803480800,9.1951922800,9.1186294800,56013041,672739660.0000,2,0.199308,1,0.839634,0
151,2019-04-22,sh.600000,9.2028485600,9.2411299600,8.9425350400,8.9655038800,9.1951922800,53389418,631192357.0000,2,0.189972,1,-2.497920,0
